Taxa,Flowering_BLUE
PHN11_PHW65_0032/LH195,65.93547707053749
PHN11_PHW65_0035/LH195,66.16934375016172
PHN11_PHW65_0035/PHT69,64.2697557823468
PHN11_PHW65_0042/LH195,65.90263710589001
PHN11_PHW65_0042/PHT69,63.08251899745149
PHN11_PHW65_0048/LH195,66.22733443777805
PHN11_PHW65_0048/PHT69,62.996926838870834
PHN11_PHW65_0049/LH195,67.91442768653418
PHN11_PHW65_0049/PHT69,65.30612725708654
PHN11_PHW65_0050/LH195,66.19107592356833
PHN11_PHW65_0050/PHT69,62.937608441441505
PHN11_PHW65_0055/LH195,66.76301687797377
PHN11_PHW65_0055/PHT69,63.2134459746222
PHN11_PHW65_0056/LH195,66.10838173854414
PHN11_PHW65_0056/PHT69,63.1006698760009
PHN11_PHW65_0057/LH195,65.92809935490153
PHN11_PHW65_0057/PHT69,64.53788140153594
PHN11_PHW65_0058/LH195,66.23476066213522
PHN11_PHW65_0058/PHT69,63.03280488313875
PHN11_PHW65_0059/LH195,66.8385836887826
PHN11_PHW65_0059/PHT69,63.83342643974967
PHN11_PHW65_0061/LH195,66.82344190860798
PHN11_PHW65_0061/PHT69,63.441720521001166
PHN11_PHW65_0062/LH195,65.38680202263878
PHN11_PHW65_0062/PHT69,63.25716816702056
PHN11_PHW65_0063/LH195,66.61698083675353
PHN11_PHW65_0063/PHT69,62.12891632195453
PHN11_PHW65_0064/LH195,66.2123779133908
PHN11_PHW65_0064/PHT69,63.22530339675927
PHN11_PHW65_0065/LH195,66.25326552861387
PHN11_PHW65_0065/PHT69,63.3005101786182
PHN11_PHW65_0066/LH195,67.39867715048265
PHN11_PHW65_0066/PHT69,64.986831790363
PHN11_PHW65_0069/LH195,65.98162757362964
PHN11_PHW65_0069/PHT69,63.4242228162383
PHN11_PHW65_0070/LH195,66.03877449280917
PHN11_PHW65_0070/PHT69,63.3602167017244
PHN11_PHW65_0071/LH195,66.01116232712124
PHN11_PHW65_0071/PHT69,62.33629367255734
PHN11_PHW65_0072/LH195,66.17581576838916
PHN11_PHW65_0072/PHT69,63.313802216560106
PHN11_PHW65_0073/LH195,66.52643253699739
PHN11_PHW65_0073/PHT69,62.95545807576063
PHN11_PHW65_0074/LH195,66.72171220563136
PHN11_PHW65_0074/PHT69,64.07706080685682
PHN11_PHW65_0075/LH195,66.0101436346047
PHN11_PHW65_0075/PHT69,63.10814931752191
PHN11_PHW65_0076/LH195,67.98060555989763
PHN11_PHW65_0076/PHT69,62.78875015661717
PHN11_PHW65_0077/LH195,65.14113030185362
PHN11_PHW65_0077/PHT69,63.50505278287809
PHN11_PHW65_0079/LH195,66.356827426066
PHN11_PHW65_0079/PHT69,62.9351488010793
PHN11_PHW65_0080/LH195,65.72199196739842
PHN11_PHW65_0080/PHT69,62.582818455002695
PHN11_PHW65_0081/LH195,66.65187562262233
PHN11_PHW65_0081/PHT69,63.859342114036885
PHN11_PHW65_0084/LH195,67.27795546601521
PHN11_PHW65_0084/PHT69,63.327370489149516
PHN11_PHW65_0086/LH195,66.78933150117098
PHN11_PHW65_0086/PHT69,63.482045090187086
PHN11_PHW65_0087/LH195,67.11133752578448
PHN11_PHW65_0087/PHT69,64.15082042458629
PHN11_PHW65_0088/LH195,65.36545329434247
PHN11_PHW65_0088/PHT69,62.87813266470176
PHN11_PHW65_0089/LH195,67.65207220890906
PHN11_PHW65_0089/PHT69,63.42850960845771
PHN11_PHW65_0092/LH195,66.2881992447786
PHN11_PHW65_0092/PHT69,63.55164521690852
PHN11_PHW65_0094/LH195,66.34351922377996
PHN11_PHW65_0096/LH195,65.54092919680693
PHN11_PHW65_0096/PHT69,62.990203388320616
PHN11_PHW65_0100/LH195,65.30580329454654
PHN11_PHW65_0100/PHT69,63.23661810671891
PHN11_PHW65_0101/LH195,65.69534121610289
PHN11_PHW65_0101/PHT69,63.52628038232382
PHN11_PHW65_0103/LH195,66.47663906635627
PHN11_PHW65_0103/PHT69,63.28025531628986
PHN11_PHW65_0105/LH195,65.79211926591194
PHN11_PHW65_0105/PHT69,63.36739871536936
PHN11_PHW65_0106/LH195,66.96701325636788
PHN11_PHW65_0106/PHT69,63.96798189436417
PHN11_PHW65_0107/LH195,65.5413583103499
PHN11_PHW65_0107/PHT69,62.55479530427169
PHN11_PHW65_0110/LH195,66.24153698827226
PHN11_PHW65_0110/PHT69,63.91518446172551
PHN11_PHW65_0113/LH195,67.00090256773933
PHN11_PHW65_0113/PHT69,64.08183252005338
PHN11_PHW65_0114/LH195,66.12108679087888
PHN11_PHW65_0114/PHT69,63.53214733968483
PHN11_PHW65_0117/LH195,65.61362783548613
PHN11_PHW65_0117/PHT69,63.23577198292965
PHN11_PHW65_0118/LH195,66.5236690103475
PHN11_PHW65_0118/PHT69,63.338826546752635
PHN11_PHW65_0119/LH195,66.07191878952531
PHN11_PHW65_0119/PHT69,63.60010318195699
PHN11_PHW65_0125/LH195,66.75825198993695
PHN11_PHW65_0125/PHT69,64.0156469045863
PHN11_PHW65_0129/LH195,65.86798450553718
PHN11_PHW65_0129/PHT69,62.69468166249228
PHN11_PHW65_0132/LH195,65.4000363230693
PHN11_PHW65_0132/PHT69,62.53038392915959
PHN11_PHW65_0133/LH195,66.21589053128652
PHN11_PHW65_0133/PHT69,63.38159219106878
PHN11_PHW65_0136/LH195,66.98565798988426
PHN11_PHW65_0136/PHT69,62.98973321023968
PHN11_PHW65_0137/LH195,67.4317118239525
PHN11_PHW65_0137/PHT69,64.53435904654391
PHN11_PHW65_0138/LH195,65.24703181284994
PHN11_PHW65_0138/PHT69,61.77598963430875
PHN11_PHW65_0139/LH195,65.80348419299247
PHN11_PHW65_0139/PHT69,62.45979063760016
PHN11_PHW65_0140/LH195,67.02703415074701
PHN11_PHW65_0140/PHT69,64.26213309535068
PHN11_PHW65_0141/LH195,66.4056484613173
PHN11_PHW65_0141/PHT69,62.53389397830502
PHN11_PHW65_0143/LH195,65.61026659511751
PHN11_PHW65_0143/PHT69,63.46087409758638
PHN11_PHW65_0144/LH195,65.11268170897763
PHN11_PHW65_0144/PHT69,62.62321018474274
PHN11_PHW65_0146/LH195,65.86352342803251
PHN11_PHW65_0146/PHT69,62.50916657255187
PHN11_PHW65_0147/LH195,65.0391936527063
PHN11_PHW65_0147/PHT69,61.54325320287632
