taxa,PC1,PC2,PC3,PC4
MO44_PHW65_0210/PHT69,6.1527744881684,-3.3314705672981,8.29244291556339,1.68321319100904
MO44_PHW65_0214/LH195,6.72804670914376,-3.85126813903646,7.47610692112145,1.825805991713
MO44_PHW65_0214/PHT69,6.72804670914376,-3.85126813903646,7.47610692112145,1.825805991713
MO44_PHW65_0217/LH195,8.79196629967043,-3.10884873946916,6.94964161921075,0.837215829244683
MO44_PHW65_0217/PHT69,8.79196629967043,-3.10884873946916,6.94964161921075,0.837215829244683
MO44_PHW65_0218/LH195,8.0938428506288,-3.597694332581,6.3648710708536,1.39716696125125
MO44_PHW65_0218/PHT69,8.0938428506288,-3.597694332581,6.3648710708536,1.39716696125125
MO44_PHW65_0220/LH195,8.54526119733629,-2.9978894573086,7.89516434493907,1.93130517905661
MO44_PHW65_0220/PHT69,8.54526119733629,-2.9978894573086,7.89516434493907,1.93130517905661
MO44_PHW65_0223/LH195,9.32262334541231,-2.17037505203989,6.36281693932719,1.78723321282397
MO44_PHW65_0223/PHT69,9.32262334541231,-2.17037505203989,6.36281693932719,1.78723321282397
MO44_PHW65_0224/LH195,7.84308350700281,-3.65640409855572,8.4996454835485,0.517888028341664
MO44_PHW65_0224/PHT69,7.84308350700281,-3.65640409855572,8.4996454835485,0.517888028341664
MO44_PHW65_0225/LH195,8.06504785387463,-3.24613150052073,7.00887723531282,0.27142349768448
MO44_PHW65_0225/PHT69,8.06504785387463,-3.24613150052073,7.00887723531282,0.27142349768448
MO44_PHW65_0230/LH195,8.5070806450443,-2.85108342043309,8.06445471690947,1.22778934193104
MO44_PHW65_0230/PHT69,8.5070806450443,-2.85108342043309,8.06445471690947,1.22778934193104
MO44_PHW65_0236/LH195,6.56217840431142,-3.22455119524081,10.3635263240049,1.58800187426852
MO44_PHW65_0236/PHT69,6.56217840431142,-3.22455119524081,10.3635263240049,1.58800187426852
MO44_PHW65_0237/LH195,8.14709888491502,-3.6549939038914,9.29325880790163,1.04326538360926
MO44_PHW65_0237/PHT69,8.14709888491502,-3.6549939038914,9.29325880790163,1.04326538360926
MO44_PHW65_0242/LH195,5.50840747098909,-3.66599370059159,11.0637580856032,1.40742875166117
MO44_PHW65_0242/PHT69,5.50840747098909,-3.66599370059159,11.0637580856032,1.40742875166117
MO44_PHW65_0244/LH195,7.59809724135168,-3.54531495171757,8.85867745817165,1.85262957053171
MO44_PHW65_0244/PHT69,7.59809724135168,-3.54531495171757,8.85867745817165,1.85262957053171
MO44_PHW65_0247/LH195,5.3683742806753,-5.17880244933633,10.8620947856786,1.664996397194
MO44_PHW65_0247/PHT69,5.3683742806753,-5.17880244933633,10.8620947856786,1.664996397194
MO44_PHW65_0248/LH195,8.43073454681336,-2.68031155983889,7.44141165915149,1.39425795274735
MO44_PHW65_0248/PHT69,8.43073454681336,-2.68031155983889,7.44141165915149,1.39425795274735
MO44_PHW65_0250/LH195,8.22034475474556,-3.1556894336907,6.55599292808765,2.11441161690947
MO44_PHW65_0250/PHT69,8.22034475474556,-3.1556894336907,6.55599292808765,2.11441161690947
MO44_PHW65_0253/LH195,8.66212644820048,-2.24481540190208,5.74064404619403,1.15410825112067
MO44_PHW65_0253/PHT69,8.66212644820048,-2.24481540190208,5.74064404619403,1.15410825112067
MO44_PHW65_0254/LH195,5.08704599085503,-5.39370991333089,10.8483690404965,2.19778601808737
MO44_PHW65_0254/PHT69,5.08704599085503,-5.39370991333089,10.8483690404965,2.19778601808737
MO44_PHW65_0259/LH195,9.61393535946178,-2.90907578510363,5.01531480682933,0.540438662838521
MO44_PHW65_0259/PHT69,9.61393535946178,-2.90907578510363,5.01531480682933,0.540438662838521
MO44_PHW65_0260/LH195,7.53879438204126,-2.50156208321921,3.32359519602412,1.5494383670314
